X1,X2,Class
3750,-2850,M
3450,-2550,M
3750,-2475,M
4200,-3150,M
4575,-3675,M
4350,-3450,M
4469,-3225,M
4125,-2775,M
4050,-3000,M
4650,-3975,M
4844,-3825,M
4919,-3375,M
5069,-3675,M
5175,-3450,M
5219,-3075,M
5369,-3225,M
5625,-2850,M
5475,-3075,M
5175,-2775,M
5400,-2775,M
5625,-2550,M
5775,-2475,M
5850,-3119,M
5775,-3600,M
5894,-3375,M
5775,-3375,M
5925,-2850,M
5925,-2700,M
6075,-3869,M
5775,-4050,M
5969,-4275,M
5775,-4425,M
5625,-4275,M
6000,-4156,M
5775,-3750,M
6075,-3600,M
6044,-3375,M
6075,-4619,M
6000,-4875,M
5700,-4650,M
5834,-4629,M
5580,-4859,M
5850,-5025,M
6119,-4950,M
6225,-4425,M
6225,-4050,M
6150,-3075,M
6075,-2475,M
3869,-2700,M
3494,-2250,M
3600,-2669,M
3375,-2881,M
3525,-4950,M
3450,-4650,M
3825,-4950,M
4050,-4800,M
3825,-4650,M
3825,-4275,M
3525,-4425,M
3375,-4425,M
3375,-3975,M
3675,-3900,M
3675,-3675,M
3375,-3600,M
3300,-3150,M
3675,-3300,M
3900,-3450,M
3825,-3600,M
3375,-3225,M
3600,-2925,M
3675,-4200,M
3525,-4125,M
3225,-3750,M
3344,-3375,M
7950,-5100,I
7725,-4800,I
8100,-4831,I
7800,-4575,I
8025,-4500,I
7725,-4125,I
8100,-4231,I
7950,-3825,I
7769,-4350,I
7725,-3825,I
8100,-3375,I
7800,-3525,I
7725,-3075,I
7875,-3300,I
7725,-3225,I
7800,-2731,I
7919,-2925,I
8100,-2775,I
7800,-2475,I
8100,-2625,I
7950,-3150,I
8025,-3600,I
7950,-4050,I
8100,-3900,I
8025,-4350,I
8250,-4469,I
7950,-4800,I
7619,-5100,I
8144,-5025,I
7685,-4073,I
7544,-3600,I
7725,-3450,I
8100,-3000,I
7994,-2550,I
6675,-4950,M
3044,-2250,M
4875,-2175,M
4650,-4500,M
7275,-3150,I
8025,-2100,I
8700,-3256,I
8925,-5325,I
7950,-5400,I
4844,-3600,M
4619,-3450,M
